step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
174,2024-09-26 00:20:00,-0.4048478712182915,99986.71024454344,-13.289755456558241,-9.998671024454346,-1,0,-10.121196780457288
175,2024-09-26 00:25:00,-0.21793193265224345,99986.71024454344,-13.289755456558241,-10.896596632612173,-1,0,0.0
176,2024-09-26 00:30:00,-0.28976598130447084,99986.71024454344,-13.289755456558241,-14.488299065223542,-1,0,0.0
177,2024-09-26 00:35:00,-0.36160002995669827,99986.71024454344,-13.289755456558241,-18.080001497834914,-1,0,0.0
178,2024-09-26 00:40:00,0.03348723763035302,99986.71024454344,-13.289755456558241,1.674361881517651,-1,0,0.0
179,2024-09-26 00:45:00,-0.7639730659283995,99967.61091789523,-32.38908210476823,-9.996761091789523,1,1,-19.09932664820999
180,2024-09-26 00:50:00,-0.19993522183579046,99967.61091789523,-32.38908210476823,-9.996761091789523,1,1,0.0
181,2024-09-26 00:55:00,-0.14606949284063442,99967.61091789523,-32.38908210476823,-7.303474642031722,1,1,0.0
182,2024-09-26 01:00:00,0.12325915213514571,99967.61091789523,-32.38908210476823,6.162957606757285,1,1,0.0
183,2024-09-26 01:05:00,-0.3311731708218278,99967.61091789523,-32.38908210476823,-5.507950342199833,1,1,0.0
184,2024-09-26 01:10:00,-0.10408046341712321,99967.61091789523,-32.38908210476823,-1.019139592590209,1,1,0.0
185,2024-09-26 01:15:00,-0.4047650429135466,99957.4917918224,-42.50820817760689,-9.995749179182239,-1,0,-10.119126072838664
186,2024-09-26 01:20:00,0.2129730153408526,99957.4917918224,-42.50820817760689,10.64865076704263,-1,0,0.0
187,2024-09-26 01:25:00,-0.2610565155639824,99950.9653789333,-49.03462106670645,-9.99509653789333,1,1,-6.526412889099561
188,2024-09-26 01:30:00,-0.6128185891109561,99950.9653789333,-49.03462106670645,-30.640929455547806,1,1,0.0
189,2024-09-26 01:35:00,-0.8714121346297351,99929.18007556755,-70.81992443244982,-9.992918007556755,-1,0,-21.785303365743378
190,2024-09-26 01:40:00,-0.504996588966662,99929.18007556755,-70.81992443244982,-25.249829448333102,-1,0,0.0
191,2024-09-26 01:45:00,-1.5533797459466314,99890.34558191888,-109.65441808111561,-9.989034558191888,1,1,-38.834493648665784
192,2024-09-26 01:50:00,-0.512128286082817,99877.54237476681,-122.45762523318604,-9.987754237476683,-1,0,-12.803207152070424
193,2024-09-26 01:55:00,-0.4149794184862219,99877.54237476681,-122.45762523318604,-20.748970924311095,-1,0,0.0
194,2024-09-26 02:00:00,-1.5165065262322053,99839.629711611,-160.37028838899118,-9.9839629711611,1,1,-37.912663155805134
195,2024-09-26 02:05:00,-1.2288820357565928,99808.90766071709,-191.092339282906,-9.98089076607171,-1,0,-30.72205089391482
196,2024-09-26 02:10:00,-0.9060125074917806,99786.25734802979,-213.74265197020054,-9.978625734802979,1,1,-22.650312687294516
197,2024-09-26 02:15:00,-1.0849365780161555,99759.13393357939,-240.86606642060443,-9.975913393357938,-1,0,-27.123414450403885
198,2024-09-26 02:20:00,-0.4144816551073561,99759.13393357939,-240.86606642060443,-20.724082755367803,-1,0,0.0
199,2024-09-26 02:25:00,-1.7296742336444915,99715.89207773827,-284.1079222617167,-9.971589207773828,1,1,-43.24185584111228
200,2024-09-26 02:30:00,-0.07412008178494903,99715.89207773827,-284.1079222617167,-3.7060040892474513,1,1,0.0
201,2024-09-26 02:35:00,-0.5113290310210151,99703.10885196275,-296.89114803724203,-9.970310885196277,-1,0,-12.783225775525377
202,2024-09-26 02:40:00,0.03326897259427426,99703.10885196275,-296.89114803724203,1.663448629713713,-1,0,0.0
203,2024-09-26 02:45:00,-1.3184471276598408,99703.10885196275,-296.89114803724203,-11.760120041328632,-1,0,0.0
204,2024-09-26 02:50:00,0.24804607133134915,99703.10885196275,-296.89114803724203,12.402303566567458,-1,0,0.0
205,2024-09-26 02:55:00,-0.2833361635262015,99703.10885196275,-296.89114803724203,-3.705978838703226,-1,0,0.0
206,2024-09-26 03:00:00,-1.0124234472622533,99677.7982657812,-322.2017342187984,-9.96777982657812,1,1,-25.31058618155633
207,2024-09-26 03:05:00,-0.36038885585972624,99677.7982657812,-322.2017342187984,-18.01944279298631,1,1,0.0
208,2024-09-26 03:10:00,-0.2249169425617022,99672.17534221715,-327.8246577828409,-9.967217534221716,-1,0,-5.622923564042555
209,2024-09-26 03:15:00,-0.44979043622190323,99672.17534221715,-327.8246577828409,-22.489521811095162,-1,0,0.0
